epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.34676,1.64911,4.5505,1.18583,0.00309,0.92683,0.06698,0.02974,1.08893,3.74855,0.92965,0.00012,0.00012,0.00012
2,7.79089,1.39669,3.29577,1.0316,0.00325,0.97561,0.79857,0.35775,1.10293,3.42723,0.8769,0.000257426,0.000257426,0.000257426
3,10.1804,1.22829,2.2509,0.97698,0.00325,0.97561,0.23217,0.10277,1.02502,3.45052,0.90785,0.00039208,0.00039208,0.00039208
4,12.4911,1.15993,1.85866,0.97818,0.00325,0.97561,0.11868,0.03857,0.99296,3.62394,0.92553,0.000523962,0.000523962,0.000523962
5,14.7269,1.13909,1.61612,0.98052,0.00244,0.73171,0.00468,0.0026,1.1709,3.94019,1.04655,0.000653072,0.000653072,0.000653072
6,16.8599,1.14627,1.54106,0.96336,0.00154,0.46341,0.00139,0.00071,1.328,4.14394,1.12925,0.00077941,0.00077941,0.00077941
7,19.0334,1.10188,1.45244,0.96077,0.00138,0.41463,0.00103,0.00061,1.36292,4.11598,1.10338,0.000902976,0.000902976,0.000902976
8,21.1542,1.04913,1.45977,0.97015,0.00179,0.53659,0.00294,0.0017,1.18511,3.9854,1.0276,0.00102377,0.00102377,0.00102377
9,23.2946,1.04309,1.3269,0.93538,0.00211,0.63415,0.00427,0.00262,1.16092,3.87189,1.02989,0.00114179,0.00114179,0.00114179
10,25.3865,1.07471,1.26088,0.96117,0.0022,0.65854,0.00408,0.00273,1.13568,3.79036,1.02226,0.00125704,0.00125704,0.00125704
11,27.5476,1.13801,1.2094,0.93916,0.86916,0.16275,0.23142,0.14279,1.13002,3.29601,1.02307,0.00136952,0.00136952,0.00136952
12,29.694,1.08168,1.19534,0.93647,1,0.08748,0.37952,0.22374,1.18619,3.12278,1.02449,0.00147923,0.00147923,0.00147923
13,31.8433,1.04302,1.14753,0.95252,0.66237,0.09599,0.28686,0.18486,1.21742,3.04838,1.10619,0.00158616,0.00158616,0.00158616
14,33.9915,1.1655,1.14634,0.98738,0.70477,0.19512,0.3755,0.22391,1.17537,2.73537,1.02571,0.00169032,0.00169032,0.00169032
15,36.1146,1.0499,1.02963,0.92246,0.69538,0.66827,0.73397,0.51631,1.1061,1.75056,0.95611,0.0017228,0.0017228,0.0017228
16,38.2286,1.00424,0.97126,0.90627,0.80173,0.69053,0.84871,0.57113,1.09638,1.84551,0.91812,0.001703,0.001703,0.001703
17,40.3897,0.97371,0.94886,0.90919,0.8546,0.71697,0.87133,0.62183,1.03773,1.54584,0.91814,0.0016832,0.0016832,0.0016832
18,42.5559,1.0359,1.03926,0.94638,0.9571,0.90244,0.96032,0.69061,0.99732,1.12044,0.90129,0.0016634,0.0016634,0.0016634
19,44.7883,0.98351,0.94818,0.93565,0.83733,0.85366,0.89662,0.69271,0.97036,1.04073,0.9198,0.0016436,0.0016436,0.0016436
20,46.9034,0.94897,0.86435,0.92719,0.86839,0.87805,0.87866,0.62647,0.98335,0.97058,0.92201,0.0016238,0.0016238,0.0016238
21,49.0083,0.92902,0.84184,0.88562,0.8889,0.9757,0.96697,0.73952,0.92755,0.70152,0.90518,0.001604,0.001604,0.001604
22,51.0975,0.94549,0.83019,0.93261,0.91645,0.97561,0.97019,0.73757,0.9158,0.77594,0.89917,0.0015842,0.0015842,0.0015842
23,53.3118,0.91664,0.81692,0.92605,0.89721,0.97561,0.95887,0.71739,0.89251,0.78346,0.87921,0.0015644,0.0015644,0.0015644
24,55.4588,0.98457,0.77424,0.93009,0.90459,0.97561,0.96789,0.71658,0.93898,0.78057,0.8942,0.0015446,0.0015446,0.0015446
25,57.6182,0.98153,0.79281,0.91817,0.95238,0.97551,0.95475,0.76874,0.86106,0.6638,0.87843,0.0015248,0.0015248,0.0015248
26,59.7114,0.90025,0.72899,0.9148,0.94848,0.97561,0.97518,0.75997,0.9079,0.65098,0.89769,0.001505,0.001505,0.001505
27,61.8457,0.89279,0.73916,0.90592,0.9477,0.97561,0.98636,0.73165,0.89386,0.70861,0.87958,0.0014852,0.0014852,0.0014852
28,64.017,0.91233,0.68787,0.90619,0.94464,0.97561,0.98792,0.80545,0.78822,0.60461,0.85429,0.0014654,0.0014654,0.0014654
29,66.2416,0.88184,0.68583,0.89713,0.92916,1,0.98372,0.78901,0.7846,0.62834,0.86699,0.0014456,0.0014456,0.0014456
30,68.3396,0.86484,0.66491,0.8987,0.92117,0.97561,0.96753,0.75601,0.86486,0.65635,0.88164,0.0014258,0.0014258,0.0014258
31,70.459,0.87607,0.66906,0.91137,0.88851,1,0.98087,0.75846,0.83875,0.5985,0.88136,0.001406,0.001406,0.001406
32,72.551,0.86289,0.67722,0.87918,0.9933,0.90244,0.98819,0.79241,0.82258,0.59639,0.85906,0.0013862,0.0013862,0.0013862
33,74.7165,0.85413,0.65439,0.8899,0.87312,0.92683,0.95487,0.77877,0.72568,0.78998,0.83743,0.0013664,0.0013664,0.0013664
34,76.9618,0.83613,0.63553,0.8753,0.87201,0.99711,0.97136,0.7371,0.82382,0.76829,0.85926,0.0013466,0.0013466,0.0013466
35,79.2275,0.84782,0.61403,0.86632,0.90477,0.97561,0.96131,0.77165,0.81544,0.64014,0.85458,0.0013268,0.0013268,0.0013268
36,81.4439,0.86959,0.61578,0.88813,0.94669,0.95122,0.95573,0.76265,0.822,0.69117,0.85224,0.001307,0.001307,0.001307
37,83.7009,0.84404,0.61536,0.88961,0.94412,0.97561,0.96865,0.78125,0.795,0.57809,0.84393,0.0012872,0.0012872,0.0012872
38,85.8535,0.84006,0.60782,0.88557,0.97547,0.97022,0.97833,0.78313,0.76324,0.52982,0.84025,0.0012674,0.0012674,0.0012674
